species_id,name,organism_type,cost,description,category,biomass,diet_type,carrying_capacity,metabolism,trophic_level,growth_rate,model_id,unlock,node_id
1,Aardvark,0,50,"The aardvark is a medium-sized, burrowing, nocturnal mammal native to Africa. It is the only living species of the order Tubulidentata, although other prehistoric species and genera of Tubulidentata are known.","Small Animal",66,1,0,0.0821097,3.08333,0,1,7,79
2,"African Clawless Otter",0,50,"The African clawless otter, also known as the cape clawless otter or groot otter, is the second largest freshwater species of otter. African clawless otters are found near permanent bodies of water in savannah and lowland forest areas.","Large Animal",13,1,0,0.123252,3.53891,0,2,6,70
3,"African Fish Eagle",0,10,"The African Fish Eagle is a large species of eagle that is found throughout sub-Saharan Africa wherever large bodies of open water occur that have an abundant food supply. It is the national bird of Zimbabwe and Zambia.",Bird,2.8,1,0,0.180922,3.78486,0,3,4,53
4,"Bat-Eared Fox",0,50,"The bat-eared fox is a canid of the African savanna, named for its large ears. Fossil records show this canid to first appear during the middle Pleistocene, about 800,000 years ago.","Large Animal",3.35,1,0,0.172989,3.55142,0,4,5,59
5,"Black Backed Jackal",0,60,"The black-backed jackal, also known as the silver-backed or red jackal, is a species of jackal which inhabits two areas of the African continent separated by roughly 900 km.","Large Animal",9.6,0,0,0.132957,3.0235,0,5,6,67
6,"Black Mamba",0,50,"The black mamba, also called the common black mamba or black-mouthed mamba, is the longest venomous snake in Africa, averaging around 2.5 to 3.2 m in length, and sometimes growing to lengths of 4.45 m.","Small Animal",1.59,1,0,0.00871558,3.57098,0,6,7,75
7,Buffalo,0,50,"The African buffalo is a large African bovine. It is not closely related to the slightly larger wild Asian water buffalo, but its ancestry remains unclear. Owing to its unpredictable nature which makes it highly dangerous to humans, it has not been domesticated unlike its Asian counterpart the domestic Asian water buffalo.","Large Animal",1590,2,0,0.0370622,2,0,7,8,88
8,Thrips,0,10,"Thrips are tiny, slender insects with fringed wings. Other common names for thrips include thunderflies, thunderbugs, storm flies, thunderblights, and corn lice.",Insect,1.1,2,0,0.00207749,2,0,999,1,8
9,"Rove and Ground Beetles",0,10,"The rove beetles are a large family of beetles, primarily distinguished by their short elytra that leave more than half of their abdomens exposed.",Insect,0.071,1,0,0.00412167,2.51786,0,999,0,9
10,"Orb-Weaver Spider",0,15,"The ""typical"" orb-weaver spiders are the most common group of builders of spiral wheel-shaped webs often found in gardens, fields and forests.",Insect,0.004,1,0,0.00846004,3.38753,0,999,2,10
11,Ants,0,10,"Ants are social insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera.",Insect,0.000004,0,0,0.0475743,2.16667,0,999,0,11
12,"Harvester Termite",0,10,"Termites are a group of eusocial insects that, until recently, were classified at the taxonomic rank of order Isoptera, but are now accepted as the epifamily Termitoidae, of the cockroach order Blattodea.",Insect,0.000002,2,0,0.0565757,2,0,51,0,12
13,Flies,0,5,"True flies are insects of the order Diptera. They possess a pair of wings on the mesothorax and a pair of halteres, derived from the hind wings, on the metathorax.",Insect,0.0000115,0,0,0.0365353,2,0,999,1,13
14,Crickets,0,14,"Crickets, family Gryllidae, are insects somewhat related to grasshoppers, and more closely related to katydids or bush crickets. They have somewhat flattened bodies and long antennae. There are about 900 species of crickets.",Insect,20,0,0,0.00100607,2.125,0,999,2,14
15,"Herbivorous True Bugs",0,10,"An order of insects also known as the Hemiptera, comprising around 50,000-80,000 species of cicadas, aphids, planthoppers, leafhoppers, shield bugs, and others.",Insect,0.071,2,0,0.00412167,2,0,999,2,15
16,Katydids,0,50,"The Katydids is part of the suborder Ensifera and the only family in the superfamily Tettigonioidea. They are also known as long-horned grasshoppers, although they are more closely related to crickets than to grasshoppers.",Insect,0.9,1,0,0.00218437,2.30357,0,999,1,16
17,"Praying Mantis",0,25,"The praying mantis is named for its prominent front legs, which are bent and held together at an angle that suggests the position of prayer. The larger group of these insects is more properly called the praying mantids. Mantis refers to the genus mantis, to which only some praying mantids belong.",Insect,0.17,1,0,0.00331341,3.25313,0,34,2,17
18,Centipede,0,10,"Centipedes are arthropods belonging to the class Chilopoda of the subphylum Myriapoda. They are elongated metameric animals with one pair of legs per body segment.",Insect,0.00014,1,0,0.0195594,3.29813,0,12,0,18
19,Cockroach,0,10,"Cockroaches are insects of the order Blattaria or Blattodea, of which about 30 species out of 4,500 total are associated with human habitations. About four species are well known as pests.",Insect,20,1,0,0.00100607,2,0,999,0,19
20,"Dwarf Puddle Frog",0,25,"The Dwarf Puddle Frog is a species of frog in the Petropedetidae family. ","Small Animal",0.04,1,0,0.0218842,3.28284,0,23,1,20
21,Millipede,0,15,"Millipedes are arthropods that have two pairs of legs per segment. Each segment that has two pairs of legs is a result of two single segments fused together as one.",Insect,0.2,0,0,0.00318149,2,0,65,1,21
22,Shrew,0,50,"A shrew or shrew mouse is a small molelike mammal classified in the order Soricomorpha. True shrews are also not to be confused with West Indies shrews, treeshrews, otter shrews, or elephant shrews, which belong to different families or orders.","Small Animal",0.68,1,0,0.257723,3.28284,0,49,0,22
23,"Banana Pipistrelle",0,20,"The Banana Pipistrelle is a species of vesper bat in the Vespertilionidae family.",Bird,0.003,1,0,1,3,0,42,0,23
24,Scorpion,0,15,"Scorpions are predatory arthropod animals of the order Scorpiones within the class Arachnida. They have eight legs and are easily recognized by the pair of grasping claws and the narrow, segmented tail.",Insect,0.005,1,0,0.00800102,3.46251,0,47,1,24
25,"Gray Flycatcher",0,15,"The African Grey Flycatcher is a species of bird in the Muscicapidae family.",Bird,0.0125,1,0,0.699927,3.13492,0,66,3,25
26,"Yellow-Breasted Apalis",0,20,"The Yellow-breasted Apalis is a species of bird in the Cisticolidae family.",Bird,0.011,0,0,0.722657,2.65786,0,67,0,26
27,"Yellow-Bellied Eremomela",0,10,"The Yellow-bellied Eremomela is a common breeding species in Africa south of the Sahara in its habitat of open woodland, savannah, and dry scrub.",Bird,0.009,0,0,0.759836,2.78074,0,68,2,27
28,"Red-Faced Crombec",0,15,"The Red-faced Crombec is a species of African warbler, formerly placed in the family Sylviidae.",Bird,0.01,2,0,0.740083,2,0,69,0,28
29,"Three-Banded Plover",0,20,"The Three-banded Plover or Three-banded Sandplover, Charadrius tricollaris, is a small wader. This plover is resident in much of eastern and southern Africa and Madagascar, mainly on inland rivers, pools and lakes.",Bird,0.035,1,0,0.541082,3.25434,0,70,0,29
30,"Dwarf Epauletted Bat",0,10,"The Dwarf Epauletted Bat is a species of megabat in the Pteropodidae family.",Bird,0.029,2,0,0.567128,2,0,71,0,30
31,"Tree Mouse",0,50,"Tree Mouse, Prionomys batesi, is a poorly understood climbing mouse from Central Africa. It is unique enough that it has been placed in a genus of its own, Prionomys, since its discovery in 1910.","Small Animal",0.0075,0,0,0.795271,2.38095,0,53,1,31
